头实体,关系,尾实体
A,打,B
B,惩罚,C
A,抓住,E
A,抓住,R
R,被抓住,不明确
T,关系,不明确
Q,关系,不明确
E,绊倒,F
张某鹏,涉嫌犯罪,非法经营案
张某鹏,组织成员数量,数十人
张某鹏,犯罪目的,高利放贷非法营利
张某鹏,犯罪手段,开发运营网贷App
张某鹏团伙,贷款业务对象,境内人员
张某鹏团伙,放贷利率,借款金额的30%-35%周息
张某鹏团伙,非法放贷金额,5.6亿元
张某鹏团伙,非法放贷对象数量,5万余人
公安机关,行动时间,2024年7月-8月
公安机关行动结果,抓获犯罪嫌疑人数量,包括张某鹏在内的至少29人
案件进展,当前状态,正在进一步侦办中
李云泽,听取发言对象,各行
大型银行,角色,实体经济主力军和金融稳定压舱石
大型银行,任务,支持经济社会高质量发展
大型银行,落实政策,稳增长一揽子增量政策
城市房地产融资协调机制,状态,扩围增效中
小微企业融资协调工作机制,目标,落地见效
科技金融体制,构建目标,与科技创新相适应
大型银行,目标,促进外贸稳定增长、助力实施提振消费行动
大型银行,自身发展能力,增强高质量发展能力
大型银行,强化工作,风险管控、资产负债管理、全面成本管理
大型银行,把握关系,效益、规模、质量
大型银行,探索模式,符合自身特色的差异化发展模式
中国,发现,价值830亿美元世界最大金矿
中国,发现,金矿
金矿,价值,830亿美元
金矿,规模,世界最大
中国,发现,金矿
金矿,价值,830亿美元
金矿,为世界最大金矿,未知
中国,发现,金矿
金矿,价值,830亿美元
金矿,为世界最大金矿,是
头实体,关系,尾实体
中国,发现金矿,世界最大金矿
世界最大金矿,价值,830亿美元
中国,发现,金矿
金矿,价值,830亿美元
金矿,规模,世界最大
中国,发现,金矿
金矿,价值,830亿美元
金矿,规模,世界最大
中国,发现,金矿
金矿,价值,830亿美元
金矿,规模,世界最大
头实体,关系,尾实体
中国,发现,金矿
金矿,价值,830亿美元
金矿,规模,世界最大
A,打,B
